tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,ATCZone_pre,thr_distance_nm_pre,ATCZone_fol,thr_distance_nm_fol,ATCZone,thr_distance_nm,min_required_nm,is_below_minima,margin_nm,Aircraft_Type_Preceding,Aircraft_Type_Following,Wake_Pre,Wake_Fol,wake_required_nm,wake_is_below,wake_margin_nm
19308.0,VLG38HJ,EJU14CG,16.45363665777921,3.4916967308013187,18.055358902811665,10.41969710151976,7.110745621023626,TMA,6.590661268659408,TWR,0.5177858321089561,TWR,0.5177858321089561,3.0,False,4.110745621023626,A321,A319,,,,False,
19392.0,IBE04RC,VLG23TK,15.912027314720762,2.490451293395102,18.250555591374575,10.506619526287864,8.350309433712532,TMA,7.659855766310036,TWR,0.3041580722410703,TWR,0.3041580722410703,3.0,False,5.350309433712532,A320,A321,,,,False,
19396.0,IBE04RC,VLG23TK,15.780374192531523,2.2175917912177665,18.138636637993454,10.459736801617344,8.572884936480296,TMA,7.951652906208456,TWR,0.4253921080316417,TWR,0.4253921080316417,3.0,False,5.572884936480296,A320,A321,,,,False,
19400.0,EJU14CG,VLG23TK,16.326104637009628,6.858082331524792,18.006402321256562,10.398782403376927,3.919178141715342,TMA,3.3032776443977543,TWR,0.5709989437029668,TWR,0.5709989437029668,3.0,False,0.9191781417153422,A319,A321,,,,False,
19484.0,VLG23TK,VLG7830,16.550214622908026,7.046244310009445,18.12789461395324,10.451855439516956,3.753300057225622,TMA,3.0657667037444054,TWR,0.4384560236470301,TWR,0.4384560236470301,3.0,False,0.7533000572256219,A321,A321,,,,False,
19488.0,VLG23TK,VLG7830,16.550749857629075,6.811942841168236,17.995197639076675,10.391970681633714,3.860444110699805,TMA,3.2946516526710443,TWR,0.5840284885814183,TWR,0.5840284885814183,3.0,False,0.8604441106998051,A321,A321,,,,False,
19552.0,VLG23TK,VLG6UW,16.15960225573688,3.0152748554467834,18.17134808163829,10.47473650640197,7.725974979904013,TMA,7.102079780963957,TWR,0.3894056999243665,TWR,0.3894056999243665,3.0,False,4.725974979904013,A321,A321,,,,False,
19556.0,VLG23TK,VLG6UW,16.048794299065623,2.7833048687140893,18.049056126248697,10.414303907583774,7.88880179168648,TMA,7.348405159357829,TWR,0.5257794800636404,TWR,0.5257794800636404,3.0,False,4.88880179168648,A321,A321,,,,False,
19652.0,VLG6UW,VLG3BV,16.448261803722435,6.540891847139646,18.08103415708973,10.432215960653023,4.219993947191304,TMA,3.581192945762153,TWR,0.4892263366326034,TWR,0.4892263366326034,3.0,False,1.2199939471913037,A321,A320,,,,False,
19656.0,VLG7830,VLG3BV,12.943910873054556,2.295364540516064,17.94956117392799,10.375197858933952,9.504748360059308,TMA,8.845728430954269,TWR,0.6324966529733953,TWR,0.6324966529733953,3.0,False,6.504748360059308,A321,A320,,,,False,
