id_preceding,id_following,callsign_preceding,callsign_following,wake_cat_preceding,wake_cat_following,runway_preceding,runway_following,sid_preceding,sid_following,distance_twr_nm,time_twr,distance_tma_nm,time_tma,ac_type_preceding,ac_type_following,proc_preceding,proc_following,engine_group_preceding,engine_group_following,malformed_engine_group,same_runway,same_sid,loa_min_required_nm,twr_ok,tma_ok,loa_ok,reason
603,604,VLG9VG,VLG94PH,Media,Media,LEBL-24L,LEBL-24L,-,-,3.867835364470074,05:53:51:734,3.9797576014249754,05:53:55:711,A321,A320,-,-,HP,HP,False,True,False,3,True,True,True,
604,605,VLG94PH,VLG44WK,Media,Media,LEBL-24L,LEBL-24L,-,OLOXO1C,3.4171318138469577,05:55:07:656,3.5131218591576805,05:55:11:633,A320,A321,-,OLOXO1C,HP,HP,False,True,False,3,True,True,True,
605,606,VLG44WK,VLG2GP,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,LARPA1C,2.9578330137953857,05:56:15:656,3.023101569265343,05:56:19:633,A321,A320,OLOXO1C,LARPA1C,HP,HP,False,True,False,3,False,True,False,TWR 3.0 < 3
606,607,VLG2GP,VLG73LA,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,-,4.154029140240315,05:57:47:430,4.268072679083659,05:57:51:414,A320,A20N,LARPA1C,-,HP,HP,False,True,False,3,True,True,True,
607,608,VLG73LA,EJU86XG,Media,Media,LEBL-24L,LEBL-24L,-,-,3.2150337239471507,,,,A20N,A319,-,-,HP,HP,False,True,False,3,True,True,True,
608,609,EJU86XG,BAW47C,Media,Media,LEBL-24L,LEBL-24L,-,-,2.5995217229877308,06:00:07:367,2.639943233380643,06:00:11:344,A319,A319,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.6 < 3
609,610,BAW47C,VLG5RP,Media,Media,LEBL-24L,LEBL-24L,-,OLOXO1C,3.8916302722931895,06:01:47:172,3.5349187100776795,06:03:27:133,A319,A21N,-,OLOXO1C,HP,HP,False,True,False,3,True,True,True,
610,611,VLG5RP,VLG6LC,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,DALIN1C,5.17105993800596,,,,A21N,A321,OLOXO1C,DALIN1C,HP,HP,False,True,False,3,True,True,True,
611,612,VLG6LC,VLG91MM,Media,Media,LEBL-24L,LEBL-24L,DALIN1C,-,3.208866436610962,06:04:18:977,3.29356039884916,06:04:22:953,A321,A320,DALIN1C,-,HP,HP,False,True,False,3,True,True,True,
612,613,VLG91MM,DLH98Y,Media,Media,LEBL-24L,LEBL-24L,-,AGENA1C,3.0280407639784186,06:05:26:961,3.102312108068314,06:05:30:945,A320,A320,-,AGENA1C,HP,HP,False,True,False,3,True,True,True,
