id,callsign,Time_despegue,lat_turn,lon_turn,time_turn,roll_turn_deg,track_turn_deg,alt_ft_turn,SID,TipoAeronave,Estela,Atraviesa_radial_234,turn_found,turn_compliant,radial_from_bcn_deg
631,TVF32PR,06:43:43:898,41.27934795,2.06727521,06:44:16:148,-6.328,,724.996154118261,OLOXO1C,B738,Media,True,False,False,66.32014170190513
632,VLG21PG,06:45:47:688,41.280822,2.07002133,06:46:19:977,-22.676,,674.996771422342,LOTOS1C,A20N,Media,True,False,False,65.33405325840533
633,AEA38LZ,06:48:19:555,41.27933505,2.06748492,06:48:51:789,-7.031,,599.996219953401,LARPA1C,B738,Media,True,False,False,66.47376970418429
634,RYR2889,06:50:23:352,41.27137349,2.05912085,06:51:11:578,-13.887,,1049.99477889343,LARPA1C,B738,Media,True,False,False,80.59690843299899
636,VLG200Z,06:52:15:188,41.27558405,2.06040379,06:52:59:484,-23.73,,1099.99439817829,LARPA1C,A320,Media,True,False,False,69.96097286670613
637,VLG57RJ,06:53:27:102,41.2790179,2.06652282,06:54:03:391,-26.367,,749.995963621665,DIPES1C,A320,Media,True,False,False,66.4790057045592
638,RYR63PB,06:54:59:023,41.27784706,2.06400498,06:55:35:281,-18.105,,774.995303763531,LOTOS1C,B738,Media,True,False,False,67.21057286134828
639,EWG81R,06:56:34:898,41.28121598,2.07158989,06:57:03:148,-10.371,,574.997164567699,-,A320,Media,True,False,False,65.57604642663051
640,RYR4WX,07:03:34:359,41.27601416,2.05857803,07:04:18:625,-23.73,,849.993583700585,OLOXO1C,B38M,Media,True,False,False,67.52160066171507
641,VLG5FN,07:05:14:195,41.27504067,2.06023142,07:05:58:477,-20.918,,1174.99444039588,NATPI1C,A320,Media,True,False,False,71.21197879173741
642,VLG6VG,07:06:50:031,41.27621802,2.06217258,07:07:34:352,-21.797,,1099.99494784502,DUNES1C,A320,Media,True,False,False,69.61267856884075
643,IBE04YC,07:11:13:719,41.28245493,2.07486375,07:11:42:000,-20.391,,599.997863157249,-,A20N,Media,True,False,False,65.38897562721064
645,VLG8QR,07:12:53:586,41.27957541,2.06714264,07:13:29:898,-13.184,,724.996073712243,LOTOS1C,A320,Media,True,False,False,65.80932939481579
646,VLG9FC,07:14:09:547,41.2799067,2.06755456,07:14:41:805,-15.117,,674.996151466429,GRAUS1C,A320,Media,True,False,False,65.45363512953696
