CAT,SAC,SIC,Time,LAT,LON,H(m),H(ft),RHO,THETA,Mode3/A,FL,TA,TI,BP,RA,TTA,GS,TAR,TAS,HDG,IAS,MACH,BAR,IVV,TN,GS(kt),HDG.1,STAT,callsign,lat,lon,ALT_CORR,X,Y
CAT048,20,129,04:02:03:469,41.29657904,2.11898931,175.259612750262,574.99874789557,0.808594,107.891235,1000.0,5.75,4CAD3C,RYR1FB,1014,,,,,,71.894531,175.0,0.268,1920.0,1568,2077,185.46,73.7128,"No alert, no SPI, aircraft airbone",RYR1FB,41.29657904,2.11898931,1920.0,19.232022863605195,10.903049178387711
CAT048,20,129,04:02:07:398,41.29734947,2.12333835,213.359370252118,699.997956297957,0.988281,101.793823,1000.0,7.0,4CAD3C,RYR1FB,1014,14.941,"79,453",188.0,"1,5",182.0,78.398438,177.0,0.272,1696.0,2016,2077,188.32,79.2828,"No alert, no SPI, aircraft airbone",RYR1FB,41.29734947,2.12333835,1696.0,19.427909248879025,10.950257719830631
CAT048,20,129,04:02:11:359,41.29769138,2.12787246,251.459064817987,824.996958217446,1.1875,98.783569,1000.0,8.25,4CAD3C,RYR1FB,1014,,,,,,85.429688,178.0,0.272,2432.0,2336,2077,188.76,85.4352,"No alert, no SPI, aircraft airbone",RYR1FB,41.29769138,2.12787246,2432.0,19.632265085008644,10.971797646168906
CAT048,20,129,04:02:15:336,41.29772347,2.13254746,304.798691242933,999.995738177465,1.398438,97.371826,1000.0,10.0,4CAD3C,RYR1FB,1014,,,,,,94.21875,177.0,0.272,2528.0,2688,2077,187.22,92.4445,"No alert, no SPI, aircraft airbone",RYR1FB,41.29772347,2.13254746,2528.0,19.84306599565473,10.974784675484791
CAT048,20,129,04:02:19:328,41.29735166,2.13705655,358.138275169767,1174.99437870798,1.605469,97.223511,1000.0,11.75,4CAD3C,RYR1FB,1014,,,,,,100.722656,174.0,0.268,2464.0,2656,2077,185.46,99.3054,"No alert, no SPI, aircraft airbone",RYR1FB,41.29735166,2.13705655,2464.0,20.046509191276186,10.953502327076844
CAT048,20,129,04:02:23:328,41.29670793,2.1415286,403.857808351517,1324.99285195199,1.8125,97.630005,1000.0,13.25,4CAD3C,RYR1FB,1014,4.57,"101,777",186.0,"0,531",182.0,102.128906,174.0,0.268,2112.0,1856,2077,187.0,101.7279,"No alert, no SPI, aircraft airbone",RYR1FB,41.29670793,2.1415286,2112.0,20.24836867456669,10.915901006656128
CAT048,20,129,04:02:27:328,41.2959349,2.14617067,434.337265959941,1424.99107565201,2.027344,98.140869,1000.0,14.25,4CAD3C,RYR1FB,1014,,,,,,101.777344,177.0,0.276,1664.0,1440,2077,190.52,102.4255,"No alert, no SPI, aircraft airbone",RYR1FB,41.2959349,2.14617067,1664.0,20.457939524960338,10.870589341246662
CAT048,20,129,04:02:31:328,41.29513427,2.15080368,464.816665448248,1524.98910866923,2.242188,98.596802,1000.0,15.25,4CAD3C,RYR1FB,1014,,,,,,102.128906,183.0,0.284,1280.0,992,2077,196.24,102.9694,"No alert, no SPI, aircraft airbone",RYR1FB,41.29513427,2.15080368,1280.0,20.667115475379468,10.82363012822079
CAT048,20,129,04:02:35:328,41.29430373,2.15553398,480.05599123612,1574.98689828711,2.460938,98.997803,1000.0,15.75,4CAD3C,RYR1FB,1014,,,,,,101.777344,189.0,0.292,960.0,928,2077,201.96,102.5903,"No alert, no SPI, aircraft airbone",RYR1FB,41.29430373,2.15553398,960.0,20.880693419861082,10.774910183942056
CAT048,20,129,04:02:39:328,41.29347438,2.16042754,502.91522814054,1649.98439709261,2.6875,99.30542,1000.0,16.5,4CAD3C,RYR1FB,1014,0.176,"102,305",206.0,"-0,031",202.0,101.601562,192.0,0.3,1312.0,1312,2077,205.92,102.3431,"No alert, no SPI, aircraft airbone",RYR1FB,41.29347438,2.16042754,1312.0,21.10163876342159,10.726312879985079
CAT048,20,129,04:02:43:328,41.29265476,2.16540029,533.394384304062,1749.98163180014,2.917969,99.541626,1000.0,17.5,4CAD3C,RYR1FB,1014,,,,,,101.425781,194.0,0.304,1472.0,1600,2077,207.68,101.9586,"No alert, no SPI, aircraft airbone",RYR1FB,41.29265476,2.16540029,1472.0,21.326157710507285,10.678331422879433
CAT048,20,129,04:02:47:320,41.29186199,2.17046594,563.873453301378,1849.97858052929,3.152344,99.700928,1000.0,18.5,4CAD3C,RYR1FB,1014,,,,,,100.546875,198.0,0.308,1408.0,1056,2077,210.32,101.5192,"No alert, no SPI, aircraft airbone",RYR1FB,41.29186199,2.17046594,1408.0,21.554862929592073,10.63199738071859
CAT048,20,129,04:02:51:313,41.29109923,2.17563412,586.732428891584,1924.97522200467,3.390625,99.794312,1000.0,19.25,4CAD3C,RYR1FB,1014,,,,,,99.140625,203.0,0.316,1248.0,928,2077,216.7,100.3711,"No alert, no SPI, aircraft airbone",RYR1FB,41.29109923,2.17563412,1248.0,21.788187527334067,10.587503563678371
CAT048,20,129,04:02:55:313,41.29040329,2.18081697,609.591325154528,1999.97160321998,3.628906,99.810791,1000.0,20.0,4CAD3C,RYR1FB,1014,-1.582,"99,492",220.0,"-0,125",220.0,98.261719,207.0,0.324,1472.0,1408,2077,220.22,99.6735,"No alert, no SPI, aircraft airbone",RYR1FB,41.29040329,2.18081697,1472.0,22.022156611548947,10.54703791697054
CAT048,20,129,04:02:59:305,41.28973923,2.18626264,640.070082816295,2099.96753050701,3.878906,99.766846,1000.0,21.0,4CAD3C,RYR1FB,1014,,,,,,97.558594,209.0,0.328,1728.0,1856,2077,221.98,99.0747,"No alert, no SPI, aircraft airbone",RYR1FB,41.28973923,2.18626264,1728.0,22.26797260843045,10.508566942614236
CAT048,20,129,04:03:03:297,41.28910629,2.19161931,678.16877913475,2224.96325733645,4.125,99.711914,1000.0,22.25,4CAD3C,RYR1FB,1014,,,,,,97.03125,210.0,0.332,1856.0,1792,2077,224.84,98.7067,"No alert, no SPI, aircraft airbone",RYR1FB,41.28910629,2.19161931,1856.0,22.50976902840251,10.47195616996259
