Time,time_seconds,callsign_preceding,callsign_following,X_preceding,Y_preceding,lat_preceding,lon_preceding,X_following,Y_following,lat_following,lon_following,id_preceding,id_following,distance_nm,distance_to_threshold_preceding,distance_to_threshold_following,both_beyond_threshold,runway_preceding,runway_following,sid_preceding,sid_following,Time_preceding,Time_following
06:52:51:094,24771.094,RYR2889,VLG200Z,16.318029320648584,3.464603434226893,41.17287041,2.0536855,16.86640747342024,9.862417481109125,41.27942295,2.06643148,634,636,6.4212727069422035,7.505161483247705,1.830859037569654,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:52:51:836,24771.836,ICC03,DICMD,17.27934145281522,10.985368960002994,41.29810196,2.07569576,25.709388496970437,14.75550067418454,41.36014323,2.26318638,717,751,9.234694705779265,1.293086235489532,8.280765611944581,True,LEBL-24L,LEBL-24L,-,-,,
06:52:55:086,24775.086,RYR2889,VLG200Z,16.247846235337384,3.1961859941989537,41.16840326,2.05210756,16.86640747342024,9.862417481109125,41.27942295,2.06643148,634,636,6.6948682020134775,7.782358606733259,1.830859037569654,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:52:55:852,24775.852,ICC03,DICMD,17.16276890226802,11.01269056120487,41.29856568,2.0731133,25.55056028120893,14.680608199273095,41.35891283,2.25965008,717,751,9.154707205382783,1.4127220930298017,8.105736734807905,True,LEBL-24L,LEBL-24L,-,-,,
06:52:59:094,24779.094,RYR2889,VLG200Z,16.123475113671603,2.9268734374451397,41.16392488,2.04933054,16.59549786927331,9.630843543247757,41.27558405,2.06040379,634,636,6.720566989570223,8.07637496242549,2.1764321267760476,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:52:59:875,24779.875,ICC03,DICMD,17.04609458398263,11.056338200179834,41.29930135,2.07053012,25.391467315582684,14.606225915435235,41.35769085,2.25610811,717,751,9.06901035506383,1.5368349365336904,7.930759133339306,True,LEBL-24L,LEBL-24L,-,-,,
06:53:03:094,24783.094,RYR2889,VLG200Z,15.983289561806272,2.6662296631956472,41.15959193,2.04620472,16.478491426954466,9.485851540141612,41.27317662,2.05779645,634,636,6.837577599688815,8.367102632995627,2.348430009479151,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:03:898,24783.898,ICC03,DICMD,16.93474418214622,11.116188848772143,41.30030653,2.0680665,25.22565318311928,14.52825467686634,41.35640969,2.25241658,717,751,8.965565530275503,1.66049696741887,7.748196136947817,True,LEBL-24L,LEBL-24L,-,-,,
06:53:07:094,24787.094,RYR2889,VLG200Z,15.8368946361816,2.3963238568622445,41.155105,2.04294109,16.40238501835611,9.317837100379762,41.27038272,2.05609379,634,636,6.944575217572366,8.668914623052592,2.4995556154036427,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
06:53:07:922,24787.922,ICC03,DICMD,16.834285309946697,11.192462216364351,41.30158449,2.06584591,25.0599279334369,14.450091823820468,41.35512521,2.24872714,717,751,8.84722257144882,1.7792128544127093,7.565645692806465,True,LEBL-24L,LEBL-24L,-,-,,
06:53:11:086,24791.086,RYR2889,VLG200Z,15.69192344464202,2.127108759541988,41.15062939,2.03970947,16.36438934672192,9.117621426105009,41.26704966,2.05523305,634,636,7.022782762611853,8.96997714083617,2.6418220386428732,True,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,,
