tick_time_s,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm,thr_distance_nm,ATCZone,min_required_nm,is_below_minima,margin_nm
16700.0,KLM73T,AFR32SN,25.89220400446744,10.03099119750932,19.290364685552028,10.776867868154342,6.643840335272216,,TMA,3.0,False,3.643840335272216
16704.0,KLM73T,AFR32SN,26.172347764903627,10.069129921664628,19.46608859243184,10.759261759865334,6.7416759075514925,,TMA,3.0,False,3.7416759075514925
16708.0,KLM73T,AFR32SN,26.451596936851946,10.174637393305648,19.647517186321,10.738045718996805,6.827366270608555,,TMA,3.0,False,3.8273662706085547
16712.0,KLM73T,AFR32SN,26.711447422622303,10.309264825358596,19.8309099686894,10.71425621350184,6.892446131776705,,TMA,3.0,False,3.8924461317767047
16716.0,KLM73T,AFR32SN,26.95504570420221,10.475563027887883,20.01303584934724,10.689001849656504,6.945290271510723,,TMA,3.0,False,3.945290271510723
16720.0,KLM73T,AFR32SN,27.18007256125504,10.661603074383056,20.197042841727463,10.66026869587293,6.983029847019947,,TMA,3.0,False,3.983029847019947
16724.0,KLM73T,AFR32SN,27.367111435455648,10.891442380190243,20.37698098353639,10.630008042215072,6.995017630279528,,TMA,3.0,False,3.995017630279528
16728.0,KLM73T,AFR32SN,27.52416463498593,11.143259057030845,20.55241909315429,10.598850306358528,6.992969096732657,,TMA,3.0,False,3.992969096732657
16732.0,KLM73T,AFR32SN,27.646342297954945,11.41271249943389,20.734931282930024,10.563920944307608,6.963336077101371,,TMA,3.0,False,3.9633360771013706
16736.0,KLM73T,AFR32SN,27.72123003370764,11.695978121719294,20.910492804373455,10.531299067630506,6.909603382689332,,TMA,3.0,False,3.9096033826893324
16740.0,KLM73T,AFR32SN,27.75883483091915,11.990473910620976,21.094669331358578,10.49831658559431,6.829175300734645,,TMA,3.0,False,3.8291753007346454
16744.0,KLM73T,AFR32SN,27.751911474076863,12.288079010263104,21.282920318348943,10.465910433780865,6.720725027406297,,TMA,3.0,False,3.7207250274062966
16748.0,KLM73T,AFR32SN,27.700199923164124,12.583333143421966,21.467510312337623,10.43560845109377,6.592354749172775,,TMA,3.0,False,3.5923547491727748
16796.0,AFR32SN,VLG8SJ,24.034232258261717,10.165045511727206,17.55836746879316,10.191029540204868,6.4759169189555355,,TMA,3.0,False,3.4759169189555355
16800.0,AFR32SN,VLG8SJ,24.27179292943916,10.146739438135288,17.67886046875167,10.249809017677984,6.593738072551408,,TMA,3.0,False,3.5937380725514076
16804.0,AFR32SN,VLG8SJ,24.528627926371662,10.122890594905767,17.813549289420546,10.310169820222317,6.717689677908055,,TMA,3.0,False,3.717689677908055
16808.0,AFR32SN,VLG8SJ,24.78107719123069,10.097104083475076,17.961288289289165,10.376681865952786,6.825517152824388,,TMA,3.0,False,3.8255171528243883
16812.0,AFR32SN,VLG8SJ,25.04453545512668,10.06890047186136,18.12614248472701,10.448437477883228,6.928795684086496,,TMA,3.0,False,3.928795684086496
16816.0,AFR32SN,VLG8SJ,25.3115793288756,10.038652433184009,18.29312876413976,10.525922929719794,7.035345113527485,,TMA,3.0,False,4.035345113527485
16820.0,AFR32SN,VLG8SJ,25.580984838465252,10.021003200963452,18.459391512103025,10.596495767590838,7.144808129007411,,TMA,3.0,False,4.144808129007411
