id_preceding,id_following,callsign_preceding,callsign_following,runway_preceding,runway_following,sid_preceding,sid_following,distance_twr_nm,time_twr,distance_tma_nm,time_tma,violation_twr,violation_tma
633,634,AEA38LZ,RYR2889,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,5.8337026900969295,06:50:31:297,5.991232128420452,06:50:35:281,False,False
634,636,RYR2889,VLG200Z,LEBL-24L,LEBL-24L,LARPA1C,LARPA1C,5.3534518791324315,06:52:23:172,5.493806350736358,06:52:27:156,False,False
636,637,VLG200Z,VLG57RJ,LEBL-24L,LEBL-24L,LARPA1C,DIPES1C,3.024009537325807,06:53:35:234,3.0784990859041397,06:53:39:211,False,False
637,638,VLG57RJ,RYR63PB,LEBL-24L,LEBL-24L,DIPES1C,LOTOS1C,3.9864556388999826,06:55:03:023,4.104320738958536,06:55:07:008,False,False
638,639,RYR63PB,EWG81R,LEBL-24L,LEBL-24L,LOTOS1C,-,4.306773602774313,06:56:38:898,4.429408028376974,06:56:42:875,False,False
640,641,RYR4WX,VLG5FN,LEBL-24L,LEBL-24L,OLOXO1C,NATPI1C,4.576322890718043,07:05:22:266,4.692315795557516,07:05:26:250,False,False
641,642,VLG5FN,VLG6VG,LEBL-24L,LEBL-24L,NATPI1C,DUNES1C,6.397946679188909,,,,False,False
643,645,IBE04YC,VLG8QR,LEBL-24L,LEBL-24L,-,LOTOS1C,4.412112329875596,07:13:01:602,4.556736235600341,07:13:05:586,False,False
645,646,VLG8QR,VLG9FC,LEBL-24L,LEBL-24L,LOTOS1C,GRAUS1C,3.001235900010517,07:14:13:633,3.067719597840094,07:14:17:617,False,False
646,647,VLG9FC,WMT182,LEBL-24L,LEBL-24L,GRAUS1C,-,4.9252416533221695,07:15:57:445,5.052809307948131,07:16:01:430,False,False
647,648,WMT182,NJE838T,LEBL-24L,LEBL-24L,-,-,3.619520917944839,07:17:25:367,3.1169373825835467,07:19:04:914,False,False
649,650,TRA3T,QTR138,LEBL-24L,LEBL-24L,OLOXO1C,DIPES1C,4.114729958001933,07:23:44:859,4.2284942594935515,07:23:48:844,False,False
650,651,QTR138,BTX6F,LEBL-24L,LEBL-24L,DIPES1C,-,7.069304985687044,07:26:28:438,7.194409569193532,07:26:32:414,False,False
651,652,BTX6F,RYR23VU,LEBL-24L,LEBL-24L,-,-,4.935901647756115,07:28:08:406,5.096020503624697,07:28:12:391,False,False
652,653,RYR23VU,RYR98RR,LEBL-24L,LEBL-24L,-,DIPES1C,5.014871451741096,,,,False,False
653,654,RYR98RR,LHX06E,LEBL-24L,LEBL-24L,DIPES1C,-,4.24445914465118,07:31:00:258,4.371816664060311,07:31:04:234,False,False
654,655,LHX06E,ANE53GX,LEBL-24L,LEBL-24L,-,-,3.6277181785735553,07:32:24:148,3.768120461219792,07:32:28:125,False,False
655,656,ANE53GX,VLG7CV,LEBL-24L,LEBL-24L,-,-,6.300847777950567,,,,False,False
657,658,RYR26UP,RYR97BB,LEBL-24L,LEBL-24L,-,-,4.658607834877695,07:39:11:648,4.7829873689435765,07:39:15:641,False,False
658,659,RYR97BB,KLM1498,LEBL-24L,LEBL-24L,-,-,4.389829319708915,07:40:43:492,4.517799198067081,07:40:47:477,False,False
659,660,KLM1498,WMT95Z,LEBL-24L,LEBL-24L,-,-,4.396490189562306,,,,False,False
660,661,WMT95Z,IBE04LK,LEBL-24L,LEBL-24L,-,-,6.112622897876338,07:44:15:148,6.299772483079267,07:44:19:133,False,False
661,662,IBE04LK,DAL251,LEBL-24L,LEBL-24L,-,-,4.760921482802454,07:45:59:039,4.92307097475334,07:46:03:023,False,False
663,664,WZZ17JZ,WZZ521,LEBL-24L,LEBL-24L,-,-,3.5849314114298862,07:52:02:688,3.648439745618199,07:52:06:664,False,False
664,665,WZZ521,AEA68NT,LEBL-24L,LEBL-24L,-,LARPA1C,4.835568764776147,07:53:38:469,4.994633256745112,07:53:42:453,False,False
665,666,AEA68NT,RYR2VW,LEBL-24L,LEBL-24L,LARPA1C,-,3.4849602035802656,07:55:06:422,3.5667361888678735,07:55:10:398,False,False
717,751,ICC03,DICMD,LEBL-24L,LEBL-24L,-,-,9.962662176119759,06:52:16:266,6.347571467608543,06:55:04:016,False,False
