callsign,time_despegue,SID,Estela,Airline,AircraftType,Runway,IAS_850ft,IAS_850ft_time,IAS_850ft_altitude,IAS_1500ft,IAS_1500ft_time,IAS_1500ft_altitude,IAS_3500ft,IAS_3500ft_time,IAS_3500ft_altitude
DLH97F,0 days 06:07:05,-,Media,1014,A321,LEBL-24L,159.0,06:07:18:969,799.996407539525,,,,,,
DLH97F,0 days 06:07:05,-,Media,1014,A321,LEBL-24L,,,,167.0,06:07:34:867,1449.99650631677,,,
DLH97F,0 days 06:07:05,-,Media,1014,A321,LEBL-24L,,,,,,,205.0,06:08:38:531,3425.02517233595
THY1852,0 days 06:08:30,DIPES1C,Media,1014,B738,LEBL-24L,174.0,06:08:50:883,849.994366216293,,,,,,
THY1852,0 days 06:08:30,DIPES1C,Media,1014,B738,LEBL-24L,,,,172.0,06:09:06:781,1599.99403626665,,,
THY1852,0 days 06:08:30,DIPES1C,Media,1014,B738,LEBL-24L,,,,,,,175.0,06:09:58:469,3500.01477640406
VLG700D,0 days 06:10:27,-,Media,1014,A320,LEBL-24L,158.0,06:10:38:711,874.996724283392,,,,,,
VLG700D,0 days 06:10:27,-,Media,1014,A320,LEBL-24L,,,,170.0,06:10:54:617,1499.99666117935,,,
VLG700D,0 days 06:10:27,-,Media,1014,A320,LEBL-24L,,,,,,,211.0,06:11:46:305,3475.01859624163
VLG6ZP,0 days 06:12:08,OLOXO1C,Media,1014,A20N,LEBL-24L,151.0,06:12:18:586,799.99687377832,,,,,,
VLG6ZP,0 days 06:12:08,OLOXO1C,Media,1014,A20N,LEBL-24L,,,,168.0,06:12:38:477,1524.99682636671,,,
VLG6ZP,0 days 06:12:08,OLOXO1C,Media,1014,A20N,LEBL-24L,,,,,,,225.0,06:13:38:211,3550.01730772204
NSZ3DA,0 days 06:13:13,-,Media,"1014,2",B738,LEBL-24L,174.0,06:13:42:484,924.993886789332,,,,,,
NSZ3DA,0 days 06:13:13,-,Media,"1014,2",B738,LEBL-24L,,,,189.0,06:14:06:313,1499.99756608087,,,
NSZ3DA,0 days 06:13:13,-,Media,"1014,2",B738,LEBL-24L,,,,,,,212.0,06:15:13:984,3525.04432840678
VLG8VX,0 days 06:14:39,-,Media,1014,A320,LEBL-24L,158.0,06:14:58:391,924.995385286792,,,,,,
VLG8VX,0 days 06:14:39,-,Media,1014,A320,LEBL-24L,,,,173.0,06:15:18:266,1499.99627128273,,,
VLG8VX,0 days 06:14:39,-,Media,1014,A320,LEBL-24L,,,,,,,200.0,06:16:21:922,3425.02987452512
IBE04GZ,0 days 06:15:45,-,Media,1014,A320,LEBL-24L,155.0,06:16:02:313,774.995890924545,,,,,,
IBE04GZ,0 days 06:15:45,-,Media,1014,A320,LEBL-24L,,,,164.0,06:16:22:203,1474.99555176287,,,
IBE04GZ,0 days 06:15:45,-,Media,1014,A320,LEBL-24L,,,,,,,252.0,06:17:45:789,3450.05211950756
NSZ5528,0 days 06:17:05,-,Media,"1014,2",B738,LEBL-24L,176.0,06:17:30:188,924.994109958428,,,,,,
NSZ5528,0 days 06:17:05,-,Media,"1014,2",B738,LEBL-24L,,,,200.0,06:17:54:039,1549.99600393962,,,
NSZ5528,0 days 06:17:05,-,Media,"1014,2",B738,LEBL-24L,,,,,,,220.0,06:18:45:805,3575.02310240928
VLG5WG,0 days 06:20:12,-,Media,1014,A20N,LEBL-24L,144.0,06:20:25:953,874.996574679005,,,,,,
VLG5WG,0 days 06:20:12,-,Media,1014,A20N,LEBL-24L,,,,170.0,06:20:49:813,1549.99770344754,,,
VLG5WG,0 days 06:20:12,-,Media,1014,A20N,LEBL-24L,,,,,,,208.0,06:21:41:594,3450.01483798233
VLG45PN,0 days 06:21:38,-,Media,1014,A320,LEBL-24L,159.0,06:22:01:859,924.99490976227,,,,,,
VLG45PN,0 days 06:21:38,-,Media,1014,A320,LEBL-24L,,,,180.0,06:22:25:719,1524.99537346373,,,
VLG45PN,0 days 06:21:38,-,Media,1014,A320,LEBL-24L,,,,,,,232.0,06:23:33:352,3550.04003914962
VLG65MT,0 days 06:23:04,LOBAR1C,Media,1014,A320,LEBL-24L,160.0,06:23:25:742,874.995182226435,,,,,,
VLG65MT,0 days 06:23:04,LOBAR1C,Media,1014,A320,LEBL-24L,,,,172.0,06:23:45:633,1474.99479170523,,,
VLG65MT,0 days 06:23:04,LOBAR1C,Media,1014,A320,LEBL-24L,,,,,,,228.0,06:24:57:328,3425.02718671219
IBE2601,0 days 06:25:25,LOTOS1C,Pesada,1014,A332,LEBL-24L,163.0,06:25:49:555,874.994384698956,,,,,,
IBE2601,0 days 06:25:25,LOTOS1C,Pesada,1014,A332,LEBL-24L,,,,155.0,06:26:05:445,1549.99534863744,,,
IBE2601,0 days 06:25:25,LOTOS1C,Pesada,1014,A332,LEBL-24L,,,,,,,195.0,06:28:36:977,3500.07758083444
VLG93DX,0 days 06:27:46,LARPA1C,Media,1014,A320,LEBL-24L,156.0,06:28:01:398,799.995666392507,,,,,,
VLG93DX,0 days 06:27:46,LARPA1C,Media,1014,A320,LEBL-24L,,,,169.0,06:28:25:273,1524.99541538547,,,
VLG93DX,0 days 06:27:46,LARPA1C,Media,1014,A320,LEBL-24L,,,,,,,212.0,06:29:28:922,3500.02995092786
SWT7TN,0 days 06:29:12,LARPA1C,Media,1014,AT72,LEBL-24L,135.0,06:29:29:219,849.9974384809,,,,,,
SWT7TN,0 days 06:29:12,LARPA1C,Media,1014,AT72,LEBL-24L,,,,170.0,06:30:04:977,1450.0041454721,,,
SWT7TN,0 days 06:29:12,LARPA1C,Media,1014,AT72,LEBL-24L,,,,,,,170.0,06:31:32:727,3525.04980207511
EJU37TW,0 days 06:31:18,NATPI1C,Media,1015,A319,LEBL-24L,159.0,06:31:37:117,774.995007240558,,,,,,
EJU37TW,0 days 06:31:18,NATPI1C,Media,1015,A319,LEBL-24L,,,,173.0,06:31:57:023,1449.9942082538,,,
EJU37TW,0 days 06:31:18,NATPI1C,Media,1015,A319,LEBL-24L,,,,,,,210.0,06:32:52:750,3450.01465021449
VLG92CD,0 days 06:33:09,NATPI1C,Media,1015,A320,LEBL-24L,162.0,06:33:28:969,824.995387664705,,,,,,
VLG92CD,0 days 06:33:09,NATPI1C,Media,1015,A320,LEBL-24L,,,,190.0,06:34:00:781,1499.99778167839,,,
VLG92CD,0 days 06:33:09,NATPI1C,Media,1015,A320,LEBL-24L,,,,,,,229.0,06:35:04:563,3450.0280708971
VLG2974,0 days 06:34:25,NATPI1C,Media,1015,A20N,LEBL-24L,149.0,06:34:40:859,899.996483700707,,,,,,
VLG2974,0 days 06:34:25,NATPI1C,Media,1015,A20N,LEBL-24L,,,,169.0,06:35:00:742,1549.99707362229,,,
VLG2974,0 days 06:34:25,NATPI1C,Media,1015,A20N,LEBL-24L,,,,,,,221.0,06:36:00:492,3550.01852694494
TVF32PR,0 days 06:43:59,OLOXO1C,Media,"1014,2",B738,LEBL-24L,168.0,06:44:20:148,874.995167168831,,,,,,
TVF32PR,0 days 06:43:59,OLOXO1C,Media,"1014,2",B738,LEBL-24L,,,,167.0,06:44:32:109,1424.99357866096,,,
TVF32PR,0 days 06:43:59,OLOXO1C,Media,"1014,2",B738,LEBL-24L,,,,,,,213.0,06:45:31:781,3450.01362943542
VLG21PG,0 days 06:46:05,LOTOS1C,Media,1015,A20N,LEBL-24L,155.0,06:46:23:977,824.996086776929,,,,,,
VLG21PG,0 days 06:46:05,LOTOS1C,Media,1015,A20N,LEBL-24L,,,,177.0,06:46:47:820,1524.99766960172,,,
VLG21PG,0 days 06:46:05,LOTOS1C,Media,1015,A20N,LEBL-24L,,,,,,,225.0,06:47:47:516,3525.02942331571
AEA38LZ,0 days 06:48:42,LARPA1C,Media,1014,B738,LEBL-24L,164.0,06:48:59:781,849.994493240385,,,,,,
AEA38LZ,0 days 06:48:42,LARPA1C,Media,1014,B738,LEBL-24L,,,,161.0,06:49:15:688,1474.99471687554,,,
AEA38LZ,0 days 06:48:42,LARPA1C,Media,1014,B738,LEBL-24L,,,,,,,215.0,06:50:35:281,3550.03836191339
RYR2889,0 days 06:50:43,LARPA1C,Media,"1015,2",B738,LEBL-24L,164.0,06:51:07:602,874.994898441926,,,,,,
RYR2889,0 days 06:50:43,LARPA1C,Media,"1015,2",B738,LEBL-24L,,,,186.0,06:51:31:430,1499.99830569096,,,
RYR2889,0 days 06:50:43,LARPA1C,Media,"1015,2",B738,LEBL-24L,,,,,,,205.0,06:52:27:156,3425.03070169114
VLG200Z,0 days 06:52:34,LARPA1C,Media,1015,A320,LEBL-24L,159.0,06:52:51:492,774.995866813434,,,,,,
VLG200Z,0 days 06:52:34,LARPA1C,Media,1015,A320,LEBL-24L,,,,177.0,06:53:19:352,1524.99556118268,,,
VLG200Z,0 days 06:52:34,LARPA1C,Media,1015,A320,LEBL-24L,,,,,,,220.0,06:54:23:008,3525.03324008535
VLG57RJ,0 days 06:53:49,DIPES1C,Media,1015,A320,LEBL-24L,156.0,06:54:07:383,924.995452376852,,,,,,
VLG57RJ,0 days 06:53:49,DIPES1C,Media,1015,A320,LEBL-24L,,,,184.0,06:54:35:188,1524.99893850127,,,
VLG57RJ,0 days 06:53:49,DIPES1C,Media,1015,A320,LEBL-24L,,,,,,,209.0,06:55:30:914,3425.03204832007
RYR63PB,0 days 06:55:15,LOTOS1C,Media,1015,B738,LEBL-24L,171.0,06:55:39:273,924.994538042941,,,,,,
RYR63PB,0 days 06:55:15,LOTOS1C,Media,1015,B738,LEBL-24L,,,,172.0,06:55:51:219,1449.99348376242,,,
RYR63PB,0 days 06:55:15,LOTOS1C,Media,1015,B738,LEBL-24L,,,,,,,213.0,06:56:58:820,3450.02886205382
EWG81R,0 days 06:56:56,-,Media,1015,A320,LEBL-24L,156.0,06:57:07:156,774.996409061354,,,,,,
EWG81R,0 days 06:56:56,-,Media,1015,A320,LEBL-24L,,,,170.0,06:57:31:000,1499.99729229402,,,
EWG81R,0 days 06:56:56,-,Media,1015,A320,LEBL-24L,,,,,,,211.0,06:58:34:680,3475.03077538993
RYR4WX,0 days 07:03:55,OLOXO1C,Media,1014,B38M,LEBL-24L,162.0,07:04:18:625,849.993583700585,,,,,,
RYR4WX,0 days 07:03:55,OLOXO1C,Media,1014,B38M,LEBL-24L,,,,192.0,07:04:50:422,1499.99734463814,,,
RYR4WX,0 days 07:03:55,OLOXO1C,Media,1014,B38M,LEBL-24L,,,,,,,211.0,07:05:58:188,3550.02951664334
VLG5FN,0 days 07:05:36,NATPI1C,Media,1014,A320,LEBL-24L,159.0,07:05:50:500,874.995758763404,,,,,,
VLG5FN,0 days 07:05:36,NATPI1C,Media,1014,A320,LEBL-24L,,,,175.0,07:06:14:375,1499.99481275453,,,
VLG5FN,0 days 07:05:36,NATPI1C,Media,1014,A320,LEBL-24L,,,,,,,225.0,07:07:26:070,3575.02736788208
VLG6VG,0 days 07:07:17,DUNES1C,Media,1014,A320,LEBL-24L,157.0,07:07:30:367,899.995483726671,,,,,,
VLG6VG,0 days 07:07:17,DUNES1C,Media,1014,A320,LEBL-24L,,,,168.0,07:07:50:266,1474.99515442911,,,
VLG6VG,0 days 07:07:17,DUNES1C,Media,1014,A320,LEBL-24L,,,,,,,225.0,07:08:57:883,3450.03313308768
IBE04YC,0 days 07:11:34,-,Media,1014,A20N,LEBL-24L,147.0,07:11:46:008,774.997293787273,,,,,,
IBE04YC,0 days 07:11:34,-,Media,1014,A20N,LEBL-24L,,,,150.0,07:12:05:883,1499.99796507683,,,
IBE04YC,0 days 07:11:34,-,Media,1014,A20N,LEBL-24L,,,,,,,241.0,07:13:25:523,3525.03769806816
VLG8QR,0 days 07:13:15,LOTOS1C,Media,1014,A320,LEBL-24L,159.0,07:13:33:898,924.995305534655,,,,,,
VLG8QR,0 days 07:13:15,LOTOS1C,Media,1014,A320,LEBL-24L,,,,168.0,07:13:53:781,1474.99524884774,,,
VLG8QR,0 days 07:13:15,LOTOS1C,Media,1014,A320,LEBL-24L,,,,,,,230.0,07:15:05:398,3575.03833910069
VLG9FC,0 days 07:14:31,GRAUS1C,Media,1015,A320,LEBL-24L,161.0,07:14:45:805,849.995272966402,,,,,,
VLG9FC,0 days 07:14:31,GRAUS1C,Media,1015,A320,LEBL-24L,,,,180.0,07:15:09:688,1474.99439351593,,,
VLG9FC,0 days 07:14:31,GRAUS1C,Media,1015,A320,LEBL-24L,,,,,,,211.0,07:16:09:406,3450.02064348017
WMT182,0 days 07:16:12,-,Media,1014,A321,LEBL-24L,163.0,07:16:29:680,924.994566911497,,,,,,
WMT182,0 days 07:16:12,-,Media,1014,A321,LEBL-24L,,,,157.0,07:16:41:648,1449.99275684802,,,
WMT182,0 days 07:16:12,-,Media,1014,A321,LEBL-24L,,,,,,,159.0,07:17:53:250,3475.01865837258
NJE838T,0 days 07:17:43,-,Media,"1015,2",C56X,LEBL-24L,170.0,07:17:45:516,949.998054919191,,,,,,
NJE838T,0 days 07:17:43,-,Media,"1015,2",C56X,LEBL-24L,,,,176.0,07:17:57:477,1549.99718469657,,,
NJE838T,0 days 07:17:43,-,Media,"1015,2",C56X,LEBL-24L,,,,,,,192.0,07:18:37:195,3600.01018826759
TRA3T,0 days 07:22:31,OLOXO1C,Media,"1014,2",B738,LEBL-24L,164.0,07:22:49:164,899.995490131041,,,,,,
TRA3T,0 days 07:22:31,OLOXO1C,Media,"1014,2",B738,LEBL-24L,,,,184.0,07:23:13:023,1499.99685408963,,,
TRA3T,0 days 07:22:31,OLOXO1C,Media,"1014,2",B738,LEBL-24L,,,,,,,209.0,07:24:08:789,3575.02075243607
QTR138,0 days 07:23:57,DIPES1C,Pesada,1015,B789,LEBL-24L,174.0,07:24:21:086,824.993224264628,,,,,,
QTR138,0 days 07:23:57,DIPES1C,Pesada,1015,B789,LEBL-24L,,,,171.0,07:24:44:969,1549.99203704309,,,
QTR138,0 days 07:23:57,DIPES1C,Pesada,1015,B789,LEBL-24L,,,,,,,191.0,07:26:04:555,3500.03759646618
BTX6F,0 days 07:26:38,-,Media,"1014,2",FA7X,LEBL-24L,137.0,07:26:40:828,824.99837391947,,,,,,
BTX6F,0 days 07:26:38,-,Media,"1014,2",FA7X,LEBL-24L,,,,129.0,07:26:52:789,1449.99784456747,,,
BTX6F,0 days 07:26:38,-,Media,"1014,2",FA7X,LEBL-24L,,,,,,,207.0,07:27:52:453,3500.01523374519
RYR23VU,0 days 07:28:25,-,Media,1015,B738,LEBL-24L,165.0,07:28:44:734,849.994127079048,,,,,,
RYR23VU,0 days 07:28:25,-,Media,1015,B738,LEBL-24L,,,,170.0,07:29:04:641,1524.99331308052,,,
RYR23VU,0 days 07:28:25,-,Media,1015,B738,LEBL-24L,,,,,,,208.0,07:30:16:234,3525.03617054326
RYR98RR,0 days 07:29:46,DIPES1C,Media,"1015,2",B738,LEBL-24L,168.0,07:30:04:609,849.995315655077,,,,,,
RYR98RR,0 days 07:29:46,DIPES1C,Media,"1015,2",B738,LEBL-24L,,,,201.0,07:30:32:422,1549.99866996974,,,
RYR98RR,0 days 07:29:46,DIPES1C,Media,"1015,2",B738,LEBL-24L,,,,,,,216.0,07:31:24:156,3450.03171003101
LHX06E,0 days 07:31:17,-,Media,1015,A20N,LEBL-24L,151.0,07:31:32:477,924.996555648865,,,,,,
